frame_id,label,side,description,seed_phrases
current_research_focus,Current research focus,woman-leaning,"Language that frames a person through what their research focuses on, involves, concerns, or studies.","['research focuses', 'research involves', 'research concerns', 'research considers', 'work focuses', 'research interests', 'known research']"
rights_advocacy_justice,"Rights, advocacy, and justice",woman-leaning,"Language about rights, advocacy, justice, equality, public-good work, activism, and social change.","['rights activist', 'human rights', 'gender equality', 'social justice', 'civil rights', 'feminist theory', 'feminist activist', 'advocacy']"
health_psychology_support,"Health, psychology, and social support",woman-leaning,"Language about health, psychology, care, social work, child development, public health, and support work.","['mental health', 'public health', 'breast cancer', 'child development', 'social worker', 'clinical psychologist', 'early childhood', 'care', 'psychology']"
education_teaching_public_learning,"Education, teaching, and public learning",woman-leaning,"Language about teaching, education, learning, students, schools, pedagogy, and public knowledge.","['teacher', 'educator', 'education', 'teaching', 'students', 'school', 'curriculum', 'learning', 'mathematics educator', 'writer educator']"
inclusion_access_participation,"Inclusion, access, and participation",woman-leaning,"Language about inclusion, access, diversity, participation, community, outreach, and broadening who belongs.","['broadening participation', 'diversity', 'inclusion', 'equity', 'access', 'community outreach', 'community development', 'underrepresented', 'participation']"
arts_writing_public_voice,"Arts, writing, and public voice",woman-leaning,"Language about writing, art, performance, public speaking, journalism, memoirs, and cultural production.","['writer', 'artist', 'art historian', 'dancer', 'choreographer', 'visual artist', 'public speaker', 'memoir', 'poet', 'journalist']"
current_position_framing,Current-position framing,woman-leaning,Language that frames a person through current or associate-level positions.,"['associate professor', 'associate dean', 'vice chair', 'currently serves', 'hold position', 'holds position', 'professor department']"
senior_prestige_fellowships,Senior prestige and fellowships,man-leaning,"Language about senior titles, fellowships, academies, distinguished positions, and formal prestige.","['professor emeritus', 'emeritus professor', 'distinguished professor', 'elected fellow', 'national academy', 'royal society', 'fellow american', 'academy sciences']"
leadership_command_roles,Leadership and command roles,man-leaning,"Language about command roles: chairmanship, boards, presidency, directorship, and formal leadership.","['served chairman', 'chairman board', 'chairman department', 'served president', 'founding director', 'director institute', 'director center', 'board directors']"
established_contribution_legacy,Established contribution and legacy,man-leaning,"Language that frames work through established contributions, legacy, major works, and known achievements.","['best known', 'known contributions', 'major contributions', 'important work', 'highly cited', 'scientific papers', 'number books', 'contributions fields']"
technical_authority_engineering,Technical authority and engineering,man-leaning,"Language about engineering, computer science, AI, patents, technical systems, and technical institutions.","['artificial intelligence', 'electrical engineering', 'computer science', 'institute technology', 'massachusetts institute technology', 'civil engineering', 'holds patents', 'systems', 'algorithm']"
war_state_public_office,"War, state, and public office",man-leaning,"Language about war, military service, state power, diplomacy, public office, and government authority.","['world war', 'civil war', 'states army', 'foreign policy', 'international relations', 'house commons', 'served minister', 'military', 'government', 'diplomat']"
historical_religious_authority,Historical/religious authority,man-leaning,"Language about older religious, philosophical, classical, historical, or theological authority.","['catholic priest', 'jesuit', 'priest', 'theology', 'philosophy religion', 'ancient', 'medieval', 'natural history', 'royal college', 'trinity college']"
business_finance_power,"Business, finance, and organizational power",man-leaning,"Language about business, economics, finance, executive leadership, companies, banks, and organizational power.","['business school', 'american economist', 'minister finance', 'central bank', 'world bank', 'general manager', 'chief executive', 'finance', 'economics', 'company']"
publication_record_output,Publication record and scholarly output,man-leaning,"Language about books, journals, papers, editors, publishing records, and scholarly production.","['editor journal', 'published books', 'author books', 'books including', 'scientific papers', 'number books', 'founding editor', 'journal', 'papers', 'publication']"
